ID,Common,Species,N_male,N_female,B_index,B_p_value,lambda,maximum_proportion_mating,rank_most_successful_male,N_copulations_observed,male_dispersal_pattern,breeding_season_duration,duration_estrous,observed_estrous_overlap,expected_estrus_overlap,synchrony_index
54,chimpanzee,Pan_troglodytes,4,19,0.33,0,0.76,0.77,1,29,P,365,14,7.8,43.4,-0.49
55,chimpanzee,Pan_troglodytes,4,19,0.12,0.04,0.5,0.48,1,13,P,365,14,7.8,43.4,-0.49
56,chimpanzee,Pan_troglodytes,4,19,NA,NA,1,1,1,21,P,365,14,7.8,43.4,-0.49
57,chimpanzee,Pan_troglodytes,3,19,0.28,0.07,1,1,1,10,P,365,14,7.8,43.4,-0.49
58,chimpanzee,Pan_troglodytes,2,19,0.21,0.02,0.88,0.89,1,3,P,365,14,7.8,43.4,-0.49
59,chimpanzee,Pan_troglodytes,2,19,NA,NA,1,1,1,5,P,365,14,7.8,43.4,-0.49
60,chimpanzee,Pan_troglodytes,3,19,NA,NA,1,1,1,12,P,365,14,7.8,43.4,-0.49
61,chimpanzee,Pan_troglodytes,3,19,0.47,0,0.91,0.91,1,15,P,365,14,7.8,43.4,-0.49
62,chimpanzee,Pan_troglodytes,3,19,0.27,0,0.72,0.75,1,7,P,365,14,7.8,43.4,-0.49
63,chimpanzee,Pan_troglodytes,3,19,0.36,0,0.87,0.88,1,21,P,365,14,7.8,43.4,-0.49
64,chimpanzee,Pan_troglodytes,3,19,0.03,0.06,0.38,0.51,3,42,P,365,14,7.8,43.4,-0.49
65,chimpanzee,Pan_troglodytes,3,19,0.42,0,0.89,0.9,1,34,P,365,14,7.8,43.4,-0.49
66,chimpanzee,Pan_troglodytes,3,19,0.28,0,0.7,0.71,1,37,P,365,14,7.8,43.4,-0.49
67,chimpanzee,Pan_troglodytes,5,17,0.01,0.24,0.19,0.28,4,42,P,365,14,7.8,37.9,-0.49
68,chimpanzee,Pan_troglodytes,9,29,NA,NA,0.27,0.27,1,27,P,365,14,7.8,66.3,-0.49
69,chimpanzee,Pan_troglodytes,9,29,0.02,0.08,0.24,0.29,1,67,P,365,14,7.8,66.3,-0.49
70,savanna baboon,Papio_anubis,8,19,0.27,0,0.59,0.59,6,41,D,365,6,NA,12.8,NA
71,savanna baboon,Papio_anubis,6,19,0.1,0,0.4,0.37,2,100,D,365,6,NA,12.8,NA
72,savanna baboon,Papio_anubis,6,19,0.12,0,0.45,0.38,4,47,D,365,6,NA,12.8,NA
73,savanna baboon,Papio_anubis,5,19,0.1,0,0.43,0.39,2,92,D,365,6,NA,12.8,NA
74,savanna baboon,Papio_anubis,6,19,0.09,0,0.39,0.36,4,103,D,365,6,NA,12.8,NA
75,savanna baboon,Papio_anubis,7,19,0.05,0,0.27,0.33,5,337,D,365,6,NA,12.8,NA
76,savanna baboon,Papio_anubis,5,19,0.07,0,0.35,0.34,3,340,D,365,6,NA,12.8,NA
77,chacma baboon,Papio_ursinus,3,31,0.04,0.04,0.41,0.51,2,35,D,365,9,NA,45.6,NA
78,chacma baboon,Papio_ursinus,6,7,0.04,0.002,0.31,0.34,1,53,D,365,9,NA,4.3,NA
79,chacma baboon,Papio_ursinus,3,NA,0.05,0,0.41,0.52,1,194,D,365,9,NA,NA,NA
80,red colobus,Piliocolobus_badius,8,16,NA,NA,0.29,0.31,NA,NA,P,244,5,75,13.8,NA
81,olive colobus,Procolobus_verus,2,2,0.48,0,0.99,0.99,1,207,D,89,NA,18.4,NA,NA
82,Verreaux's sifaka,Propithecus_verreauxi,2,3,-0.08,1,0.33,0.6,1,5,D,NA,NA,NA,NA,NA
83,squirrel monkey,Saimiri_sciureus,3,16,0.18,0.002,0.67,0.7,NA,27,P,59,2,11.9,29.6,NA
84,common langur,Semnopithecus_entellus,6,19,0.07,0,0.36,0.38,1,48,D,365,6,4.2,12.8,-0.49
